id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
72,Perfect North Slopes,indiana,800,400,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,90,1,100,,,39,24,http://www.onthesnow.com/indiana/perfect-north-slopes/ski-resort.html
73,Mt. Crescent Ski Area,iowa,1500,300,1200,0,0,0,0,1,0,1,0,2,11,1,0.2,50,50,,90,1,50,,,58,30,http://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html
74,Seven Oaks,iowa,975,275,800,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,100,1,35,,,22,40,http://www.onthesnow.com/iowa/seven-oaks/ski-resort.html
75,Sundown Mountain,iowa,1059,475,584,0,0,0,0,1,1,2,2,6,21,2,0.6,55,55,,98,1,55,,,46,45,http://www.onthesnow.com/iowa/sundown-mountain/ski-resort.html
76,Big Squaw Mountain Ski Resort,maine,3200,660,1750,0,0,0,0,0,1,0,0,1,29,0,0.8,,0,67,58,0,,,,6,,http://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html
77,Camden Snow Bowl,maine,1080,850,150,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,70,1,48,,,83,69,http://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html
78,Lost Valley,maine,495,240,255,0,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,104,1,45,,,58,50,http://www.onthesnow.com/maine/lost-valley/ski-resort.html
79,Mt. Abram Ski Resort,maine,2250,1150,1050,0,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,120,0,,,,59,125,http://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html
80,Mt. Jefferson,maine,753,432,351,0,0,0,0,0,0,0,3,3,10,0,0.3,12,0,,95,0,,,,19,,http://www.onthesnow.com/maine/mt-jefferson/ski-resort.html
81,New Hermon Mountain,maine,450,350,100,0,0,0,0,0,0,1,2,3,20,0,1.9,70,70,102,117,1,45,,,55,90,http://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html
