id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
263,Beaver Mountain,utah,8600,1600,7232,0,0,0,0,0,1,3,1,5,48,2,0.8,464,0,120,120,0,,,,81,400,http://www.onthesnow.com/utah/beaver-mountain/ski-resort.html
264,Brian Head Resort,utah,10970,1548,9600,0,0,0,1,0,6,1,0,8,71,2,0.6,650,216,149,148,0,,,,54,360,http://www.onthesnow.com/utah/brian-head-resort/ski-resort.html
265,Brighton Resort,utah,10500,1745,8755,0,0,0,3,1,1,0,2,7,66,4,1.2,1050,200,138,138,1,200,,,83,500,http://www.onthesnow.com/utah/brighton-resort/ski-resort.html
266,Deer Valley Resort,utah,9570,3000,6570,1,0,0,13,0,5,2,0,21,103,0,2.8,2026,660,,120,0,,,,39,300,http://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html
267,Eagle Point,utah,10600,1500,9100,0,0,0,0,1,1,2,1,5,40,1,0.9,650,0,,109,0,,,,9,400,http://www.onthesnow.com/utah/eagle-point/ski-resort.html
268,Park City,utah,10000,3200,6800,4,0,6,10,4,7,4,6,41,341,8,3.5,7300,750,142,143,0,,,,56,355,http://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort.html
269,Powder Mountain,utah,9422,2522,6900,0,0,0,1,4,1,0,3,9,167,2,3.5,8464,0,120,146,1,300,,,47,500,http://www.onthesnow.com/utah/powder-mountain/ski-resort.html
270,Snowbasin,utah,9350,2900,6450,3,0,1,2,0,3,0,2,11,107,4,3.5,3000,625,143,138,0,,28.6,24.9,79,300,http://www.onthesnow.com/utah/snowbasin/ski-resort.html
271,Snowbird,utah,11000,3240,7760,1,0,0,6,0,0,4,3,14,170,1,2.5,2500,0,188,180,1,2,,,48,500,http://www.onthesnow.com/utah/snowbird/ski-resort.html
272,Solitude Mountain Resort,utah,10488,2494,7994,0,0,0,4,2,1,1,1,9,80,0,3,1200,150,161,148,0,,,,62,500,http://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort.html
273,Sundance,utah,8250,2150,6100,0,0,0,0,2,2,0,1,5,45,1,0.6,450,112,128,129,0,,,,50,320,http://www.onthesnow.com/utah/sundance/ski-resort.html
274,Nordic Valley Resort,utah,6400,960,5440,0,0,0,0,0,0,2,2,4,23,1,0.4,140,84,105,105,1,140,,0.5,51,300,http://www.onthesnow.com/utah/wolf-creek/ski-resort.html
275,Bolton Valley,vermont,3150,1704,1446,0,0,0,0,2,0,3,1,6,71,3,0.6,300,90,133,132,1,50,18.6,,53,300,http://www.onthesnow.com/vermont/bolton-valley/ski-resort.html
276,Bromley Mountain,vermont,3284,1334,1950,0,0,0,1,1,0,4,3,9,47,1,2.5,178,153,,152,0,,,,83,168,http://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html
277,Burke Mountain,vermont,3267,2011,1210,0,0,0,2,1,0,0,3,6,50,3,2.2,178,125,110,125,0,,,,62,217,http://www.onthesnow.com/vermont/burke-mountain/ski-resort.html
278,Jay Peak,vermont,3968,2153,1815,1,0,0,1,3,1,1,2,9,79,2,3,385,300,155,160,0,,,,64,349,http://www.onthesnow.com/vermont/jay-peak/ski-resort.html
279,Killington Resort,vermont,4241,3050,1165,3,0,1,5,4,3,1,5,22,155,6,6,1515,600,192,,0,,,,61,250,http://www.onthesnow.com/vermont/killington-resort/ski-resort.html
280,Mad River Glen,vermont,3637,2037,1600,0,0,0,0,0,2,2,1,5,52,0,1,115,16,134,135,0,,,,71,228,http://www.onthesnow.com/vermont/mad-river-glen/ski-resort.html
281,Magic Mountain,vermont,2850,1500,1350,0,0,0,0,0,0,3,3,6,50,1,1.6,205,95,76,80,0,,,9.3,59,150,http://www.onthesnow.com/vermont/magic-mountain/ski-resort.html
282,Mount Snow,vermont,3600,1700,1900,0,0,1,3,1,6,4,5,20,86,10,3,600,480,135,135,0,,,,65,156,http://www.onthesnow.com/vermont/mount-snow/ski-resort.html
283,Okemo Mountain Resort,vermont,3344,2200,1144,0,0,1,4,5,3,0,7,20,121,9,4,667,654,146,152,0,,,,63,200,http://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html
284,Pico Mountain ,vermont,3967,1967,2000,0,0,0,2,0,2,2,1,7,59,1,4,260,156,,115,0,,,,82,250,http://www.onthesnow.com/vermont/pico-mountain-at-killington/ski-resort.html
285,Smugglers' Notch Resort,vermont,3640,2610,1030,0,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,135,0,,,,63,280,http://www.onthesnow.com/vermont/smugglers-notch-resort/ski-resort.html
286,Stowe Mountain Resort,vermont,4395,2360,2035,2,0,0,0,4,2,2,2,12,116,0,3.7,485,388,155,137,0,,,,86,314,http://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort.html
287,Stratton Mountain,vermont,3875,2003,1872,1,0,4,1,2,1,1,1,11,99,4,3,670,474,155,160,0,,,,58,180,http://www.onthesnow.com/vermont/stratton-mountain/ski-resort.html
288,Sugarbush,vermont,4083,2600,1483,0,0,0,5,5,2,1,3,16,111,4,3,581,406,150,156,0,,,,61,250,http://www.onthesnow.com/vermont/sugarbush/ski-resort.html
289,Suicide Six,vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100,50,100,106,0,,,,85,90,http://www.onthesnow.com/vermont/suicide-six/ski-resort.html
290,Bryce Resort,virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25,25,100,95,1,20,,,54,30,http://www.onthesnow.com/virginia/bryce-resort/ski-resort.html
291,Massanutten,virginia,2925,1110,1750,0,0,0,0,3,1,0,3,7,13,2,0.8,70,70,68,97,1,70,,,46,35,http://www.onthesnow.com/virginia/massanutten/ski-resort.html
292,The Homestead Ski Area,virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1,45,100,91,100,0,,,,60,50,http://www.onthesnow.com/virginia/the-homestead-ski-area/ski-resort.html
293,Wintergreen Resort,virginia,3515,1003,2512,0,0,2,0,1,1,1,0,5,27,2,1,129,129,107,121,1,45,,,44,34,http://www.onthesnow.com/virginia/wintergreen-resort/ski-resort.html
294,49 Degrees North,washington,5774,1851,3932,0,0,0,0,1,0,5,1,7,89,1,2,2325,0,101,135,1,250,,,48,301,http://www.onthesnow.com/washington/49-degrees-north/ski-resort.html
295,Alpental,washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825,0,120,144,1,121,,,52,428,http://www.onthesnow.com/washington/alpental/ski-resort.html
296,Bluewood,washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2,355,0,70,110,0,,,,40,300,http://www.onthesnow.com/washington/bluewood/ski-resort.html
297,Crystal Mountain,washington,7012,3100,4400,1,0,2,2,1,2,2,0,10,57,1,2.5,2600,10,,149,0,,,,57,486,http://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort.html
298,Mission Ridge,washington,6820,2250,4570,0,0,0,1,0,0,3,2,6,53,3,0.8,2000,66,104,96,1,500,,,53,200,http://www.onthesnow.com/washington/mission-ridge/ski-resort.html
299,Mt. Baker,washington,5000,1500,3500,0,0,0,0,8,0,0,2,10,38,0,0.7,1000,0,143,165,0,,,,66,663,http://www.onthesnow.com/washington/mt-baker/ski-resort.html
300,Mt. Spokane Ski and Snowboard Park,washington,5889,2000,4200,0,0,0,0,0,1,5,1,7,52,3,0.6,1704,0,100,103,1,45,,,81,300,http://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html
301,Stevens Pass Resort,washington,5845,1800,4061,0,0,0,3,0,4,3,0,10,52,4,1,1125,0,116,145,1,450,,,82,460,http://www.onthesnow.com/washington/stevens-pass-resort/ski-resort.html
302,The Summit at Snoqualmie,washington,3865,1025,2840,0,0,0,3,3,4,10,7,27,112,5,0.8,1994,5,120,140,1,541,,,82,428,http://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort.html
303,White Pass,washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,144,1,90,,0.2,67,400,http://www.onthesnow.com/washington/white-pass/ski-resort.html
304,Canaan Valley Resort,west_virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95,75,,93,0,,,,48,160,http://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html
305,Snowshoe Mountain Resort,west_virginia,4848,1500,3348,0,0,0,3,2,6,0,3,14,60,5,1.5,257,257,125,138,1,86,,,46,180,http://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort.html
306,Timberline Four Seasons,west_virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2,100,100,97,115,1,27,,,37,150,http://www.onthesnow.com/west-virginia/timberline-four-seasons/ski-resort.html
307,Winterplace Ski Resort,west_virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,120,1,74,,,36,100,http://www.onthesnow.com/west-virginia/winterplace-ski-resort/ski-resort.html
308,Alpine Valley Resort,wisconsin,1040,388,820,0,0,0,3,0,3,1,5,12,21,3,0.2,90,90,100,120,1,90,,,55,80,http://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html
309,Bruce Mound,wisconsin,1375,375,1000,0,0,0,0,0,1,0,4,5,12,2,0.5,40,30,42,42,1,30,0.9,,71,42,http://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html
310,Cascade Mountain,wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,120,0,,,,57,56,http://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html
311,Christie Mountain,wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,120,1,35,,,43,48,http://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html
312,Christmas Mountain,wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40,40,75,70,1,40,,,50,20,http://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html
313,Devils Head,wisconsin,995,500,495,0,0,0,0,3,1,6,2,12,27,1,1,260,260,110,135,1,200,,,48,45,http://www.onthesnow.com/wisconsin/devils-head/ski-resort.html
314,Grand Geneva,wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,93,1,30,,,25,25,http://www.onthesnow.com/wisconsin/grand-geneva/ski-resort.html
315,Granite Peak Ski Area,wisconsin,1942,700,1242,0,0,1,2,0,2,0,2,7,75,4,0.6,220,160,136,135,1,200,,,82,75,http://www.onthesnow.com/wisconsin/granite-peak-ski-area/ski-resort.html
316,Little Switzerland,wisconsin,1269,200,1069,0,0,0,0,0,0,4,4,8,18,3,1,50,50,,121,1,50,,,,,http://www.onthesnow.com/wisconsin/little-switzerland/ski-resort.html
317,Mount La Crosse,wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,100,1,90,,,60,40,http://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html
318,Nordic Mountain,wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1,60,60,68,90,1,60,,,43,80,http://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html
319,Sunburst,wisconsin,1100,214,866,0,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,115,1,37,,,59,50,http://www.onthesnow.com/wisconsin/sunburst/ski-resort.html
320,Trollhaugen,wisconsin,1200,260,920,0,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,120,1,86,,,69,50,http://www.onthesnow.com/wisconsin/trollhaugen/ski-resort.html
321,Tyrol Basin,wisconsin,1160,300,860,0,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,103,1,32,,,61,41,http://www.onthesnow.com/wisconsin/tyrol-basin/ski-resort.html
322,Whitecap Mountain,wisconsin,1750,400,1295,0,0,0,0,1,0,4,0,5,43,1,1,400,300,105,118,0,,,,57,200,http://www.onthesnow.com/wisconsin/whitecap-mountain/ski-resort.html
323,Wilmot Mountain,wisconsin,1030,230,800,0,0,0,0,3,2,2,3,10,23,2,0.5,135,135,125,139,1,135,,,81,70,http://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort.html
324,Grand Targhee Resort,wyoming,9920,2270,7851,0,0,0,2,2,0,0,1,5,95,1,2.7,2602,0,152,152,0,,,,50,500,http://www.onthesnow.com/wyoming/grand-targhee-resort/ski-resort.html
325,Hogadon Basin,wyoming,8000,640,7400,0,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,95,0,,,,61,80,http://www.onthesnow.com/wyoming/hogadon/ski-resort.html
326,Jackson Hole,wyoming,10450,4139,6311,3,0,0,4,4,1,2,1,15,130,6,4.5,2500,195,130,133,0,,,,54,459,http://www.onthesnow.com/wyoming/jackson-hole/ski-resort.html
327,Meadowlark Ski Lodge,wyoming,9500,1000,8500,0,0,0,0,0,1,1,1,3,14,1,1.5,300,0,,113,0,,3.1,,9,,http://www.onthesnow.com/wyoming/meadowlark-ski-lodge/ski-resort.html
328,Sleeping Giant Ski Resort,wyoming,7428,810,6619,0,0,0,0,0,1,1,1,3,48,1,1,184,18,61,77,0,,,,81,310,http://www.onthesnow.com/wyoming/sleeping-giant-ski-resort/ski-resort.html
329,Snow King Resort,wyoming,7808,1571,6237,0,0,0,0,1,1,1,0,3,32,2,1,400,250,121,123,1,110,,,80,300,http://www.onthesnow.com/wyoming/snow-king-resort/ski-resort.html
330,Snowy Range Ski & Recreation Area,wyoming,9663,990,8798,0,0,0,0,0,1,3,1,5,33,2,0.7,75,30,131,,0,,,,59,250,http://www.onthesnow.com/wyoming/snowy-range-ski-recreation-area/ski-resort.html
331,White Pine Ski Area,wyoming,9500,1100,8400,0,0,0,0,0,2,0,0,2,25,0,0.4,370,0,,122,0,,,,81,150,http://www.onthesnow.com/wyoming/white-pine-ski-area/ski-resort.html
